MUNICÍPIO;2009;2011;2013;2015;2017;2019;PROJ 2009;PROJ 2011;PROJ 2013;PROJ 2015;PROJ 2017;PROJ 2019
Acari;4.8;4.9;5.6;5.9;6.6;6.8;4.8;5.2;5.4;5.7;6;6.2
Açu;3.2;3.4;3.5;4.1;4.2;4.5;2.6;3;3.3;3.6;3.9;4.2
Afonso Bezerra;2.4;3.5;3.4;3.9;3.9;4;2.9;3.3;3.6;3.8;4.1;4.5
Água Nova;3.6;4.4;4.3;5.1;5;4.8;3.3;3.7;4;4.3;4.6;4.9
Alexandria;3.4;3.7;4.5;NaN;4.5;4.7;2.9;3.3;3.6;3.9;4.2;4.5
Almino Afonso;3.2;3.2;NaN;4.8;4.9;5;3;3.4;3.7;3.9;4.2;4.6
Alto do Rodrigues;3.5;3.7;3.9;4.6;NaN;5.3;3;3.4;3.7;4;4.3;4.6
Angicos;3.7;4.2;3.5;4.3;4.1;4.8;2.8;3.2;3.5;3.8;4.1;4.4
Antônio Martins;3.1;3.5;3.8;4.4;4.1;4.1;2.6;3.1;3.3;3.6;3.9;4.2
Apodi;4.1;4.5;4.6;4.8;4.9;5.2;3.4;3.9;4.1;4.4;4.7;5
Areia Branca;3.4;3.7;3.9;4.4;4.7;4.3;3.2;3.6;3.8;4.1;4.4;4.7
Arês;3;3.4;3.6;3.8;4;3.7;2.7;3.1;3.4;3.7;4;4.3
Augusto Severo;2.7;3.5;3.7;4.1;4.3;4.9;3.3;3.7;4;4.3;4.6;4.9
Baía Formosa;3.3;3.7;3.5;4;3.9;4.2;3.2;3.6;3.9;4.2;4.5;4.8
Baraúna;4.1;3.8;4.1;4.3;4.4;5;2.7;3.1;3.4;3.7;4;4.3
Barcelona;3.2;4;3.7;4.6;4.7;4.1;3;3.4;3.7;4;4.3;4.6
Bento Fernandes;3.3;3.2;3.1;3.7;3.8;3.9;2.9;3.3;3.6;3.9;4.2;4.5
Bodó;3.8;4;3.5;3.6;4.1;3.7;2.7;3.1;3.4;3.7;4;4.3
Bom Jesus;2.9;3.5;3.5;3.7;4;4.1;3.2;3.7;4;4.3;4.6;4.9
Brejinho;3.3;3.4;3.3;4.2;4.7;4.4;2.8;3.2;3.4;3.7;4;4.3
Caiçara do Norte;2.7;3.7;4;4.3;3.6;3.8;3.2;3.6;3.9;4.2;4.5;4.8
Caiçara do Rio do Vento;3.6;3.1;3;3.9;4.3;4.7;3.5;3.9;4.2;4.5;4.8;5.1
Caicó;3.8;4.1;4.5;5;4.9;5.1;3.3;3.8;4;4.3;4.6;4.9
Campo Redondo;3.7;3.7;4;4.5;4.7;5;3.3;3.7;4;4.2;4.5;4.9
Canguaretama;3.8;3.5;3.8;3.8;4;4.3;2.8;3.2;3.5;3.8;4.1;4.4
Caraúbas;3.6;4.1;3.7;4.8;4.9;5;3.1;3.5;3.8;4.1;4.4;4.7
Carnaúba dos Dantas;4.2;5;4.8;4.8;5.6;5.3;3.5;4;4.2;4.5;4.8;5.1
Carnaubais;3.1;3.3;3.6;4.1;4.3;4.2;3.3;3.8;4;4.3;4.6;4.9
Ceará-Mirim;2.9;3.5;3.5;4;4.1;4.1;2.7;3.1;3.3;3.6;3.9;4.2
Cerro Corá;3.3;3.5;3.8;4.3;4.8;4.4;3.3;3.7;4;4.3;4.6;4.9
Coronel Ezequiel;3.2;3.4;4;4.1;4.7;3.8;3.8;4.2;4.5;4.7;5;5.3
Coronel João Pessoa;3.5;NaN;3.5;4.5;4.1;4;3;3.4;3.6;3.9;4.2;4.6
Cruzeta;5.2;5.5;5.1;5.9;6.3;6.5;4.5;4.8;5.1;5.4;5.6;5.9
Currais Novos;3.9;4.5;4.9;5.1;5.6;5.5;3.6;4.1;4.3;4.6;4.9;5.2
Doutor Severiano;3.3;4;4.7;5.1;5.3;5.8;3.6;4;4.3;4.6;4.8;5.1
Parnamirim;4;4.1;4.2;4.6;4.7;5;3.6;4;4.3;4.6;4.9;5.2
Encanto;3.4;3.8;4.7;4.1;4.4;4.8;3.1;3.5;3.8;4.1;4.4;4.7
Equador;3.9;4;4.1;4.6;5.4;5;3.6;4;4.3;4.6;4.9;5.2
Espírito Santo;2.3;2.5;2.7;3;3.7;3.4;2.6;3.1;3.4;3.7;4;4.3
Extremoz;3;3.3;3.4;4.1;4.2;4.4;3.2;3.6;3.9;4.2;4.5;4.8
Felipe Guerra;4.6;4.8;4.4;5.8;5.2;5.7;3;3.4;3.7;4;4.3;4.6
Fernando Pedroza;3;3;3.4;4.7;4;4.5;2.2;2.7;2.9;3.2;3.5;3.8
Florânia;3.8;4.1;3.9;4.8;4.9;4.9;3;3.5;3.8;4.1;4.4;4.7
Francisco Dantas;NaN;3.4;4.1;4.1;4.5;5.6;2.8;3.3;3.6;3.8;4.1;4.5
Frutuoso Gomes;3.4;3.9;4.3;4.1;4.2;4.7;3;3.5;3.8;4.1;4.4;4.7
Galinhos;3.8;NaN;NaN;3.8;4;NaN;3.1;3.4;3.7;4;4.3;4.6
Goianinha;3.7;4.1;4.5;4.5;4.8;5.1;2.7;3.1;3.4;3.7;4;4.3
Governador Dix-Sept Rosado;3.4;3.3;3.8;4.4;4.4;4.1;3.3;3.7;4;4.3;4.6;4.9
Grossos;3;3.4;3.6;3.9;4.4;4.4;2.8;3.2;3.5;3.8;4.1;4.4
Guamaré;3.5;4;4;NaN;4.4;4.4;3;3.4;3.6;3.9;4.2;4.5
Ielmo Marinho;4.1;4;4.5;4.4;4.7;4.5;3.2;3.7;4;4.3;4.6;4.9
Ipanguaçu;2.5;3.4;3.1;3.7;3.6;3.3;3;3.4;3.7;3.9;4.3;4.6
Ipueira;4;4.7;6.2;5.7;6.2;NaN;3.6;4;4.2;4.5;4.8;5.1
Itajá;2.9;3.5;3.5;4;4.2;4.6;2.5;2.9;3.1;3.4;3.7;4
Itaú;4;4.1;4.7;4.7;5.5;4.6;3.1;3.5;3.8;4.1;4.4;4.7
Jaçanã;3.6;4.3;4.6;4.6;5.6;5.3;3.2;3.6;3.9;4.2;4.5;4.8
Jandaíra;3.2;3.6;2.9;3.5;3.8;4.2;2.9;3.3;3.6;3.8;4.1;4.5
Janduís;3.3;3.8;4.2;4.1;4.2;5;2.7;3;3.3;3.6;3.9;4.2
Januário Cicco;3.5;3.5;3.4;3.5;3.8;5.8;3.7;4;4.3;4.6;4.9;5.2
Japi;3.1;2.8;3.5;3.9;4;4.1;2.8;3.2;3.5;3.8;4.1;4.4
Jardim de Angicos;2.6;3;3.4;3.6;3.9;4.1;3.6;4;4.2;4.5;4.8;5.1
Jardim de Piranhas;3.6;3.7;4;4.2;4.7;4.8;2.6;2.9;3.2;3.5;3.8;4.1
Jardim do Seridó;4;4.8;4.6;5.3;5.1;5.3;3.2;3.6;3.9;4.2;4.5;4.8
João Câmara;2.9;3.1;3.2;3.6;3.8;4.1;2.8;3.2;3.5;3.8;4.1;4.4
João Dias;2.8;2.6;3.2;3.5;3.1;NaN;3.2;3.7;4;4.3;4.6;4.9
José da Penha;3.9;3.8;4;3.8;4.1;4.2;2.2;2.6;2.9;3.2;3.5;3.8
Jucurutu;3.5;3.9;4.2;4.8;4.6;4.7;2.8;3.1;3.4;3.7;4;4.3
Jundiá;2.9;3.2;NaN;3.4;3.5;3.7;2.3;2.7;3;3.3;3.6;3.9
Lagoa d'Anta;3.2;3;3.5;3.4;3.4;3.9;2.3;2.8;3;3.3;3.6;3.9
Lagoa de Pedras;3.1;4;3.7;4.4;3.8;4.6;2.6;3.1;3.4;3.7;4;4.3
Lagoa de Velhos;3.1;3.2;3.5;3.4;4;3.9;3.4;3.7;4;4.3;4.6;4.9
Lagoa Nova;4.4;3.9;4.6;4.9;4.9;5.2;2.4;2.8;3.1;3.4;3.7;4
Lagoa Salgada;3.2;3.9;4;3.6;3.7;4.6;2.8;3.2;3.5;3.8;4.1;4.4
Lajes;3.3;3.6;4.4;5.1;5.4;5.3;3;3.4;3.7;4;4.3;4.6
Lajes Pintadas;3.2;3.5;3.5;4;3.9;4.6;3.6;4;4.2;4.5;4.8;5.1
Lucrécia;NaN;4;5.2;NaN;5.1;5.2;3.5;3.9;4.2;4.5;4.8;5.1
Luís Gomes;3.2;3.6;3.7;4;4.7;4;3;3.4;3.7;4;4.3;4.6
Macaíba;2.8;3.4;3.7;4.5;4.3;4.3;2.8;3.2;3.5;3.8;4.1;4.4
Macau;3.2;3.1;3.4;3.9;4;4.2;2.9;3.3;3.6;3.9;4.2;4.5
Major Sales;3.7;4.4;4.5;4.7;4.7;4.2;3.6;3.9;4.2;4.5;4.8;5.1
Marcelino Vieira;3;3.9;3.4;NaN;3.9;4.4;3.1;3.5;3.8;4.1;4.4;4.7
Martins;3.5;3.9;4.8;5.2;4.7;5.2;2.7;3.1;3.4;3.7;4;4.3
Maxaranguape;3.4;3.5;3.6;4.4;4;4.3;2.3;2.7;3;3.3;3.5;3.9
Messias Targino;3.3;3.4;3.8;4.2;4.2;4.1;3.3;3.7;4;4.3;4.6;4.9
Montanhas;3.3;3.7;3.6;3.9;4.4;4.8;2.9;3.3;3.6;3.9;4.2;4.5
Monte Alegre;2.9;2.9;3;4;4.1;4.7;2.7;3.1;3.4;3.7;4;4.3
Monte das Gameleiras;2.7;3.3;3;3.1;NaN;3.8;2.4;3.1;3.3;3.6;3.9;4.2
Mossoró;4.1;4.5;4.8;5.2;5.3;5.6;3.6;4;4.3;4.6;4.8;5.1
Natal;3.7;3.9;4.1;4.6;4.8;4.9;3.5;3.9;4.2;4.5;4.8;5.1
Nísia Floresta;3.4;3.6;3.7;4.2;4.2;4.2;2.9;3.3;3.6;3.9;4.2;4.5
Nova Cruz;2.9;3.1;3.2;4.1;3.9;4;3;3.4;3.7;4;4.3;4.6
Olho d'Água do Borges;3.7;3.6;3.4;4.5;4.4;4.6;2.3;2.8;3.1;3.4;3.7;4
Ouro Branco;4.2;4.4;5;NaN;4.9;4.5;3.3;3.7;4;4.3;4.6;4.9
