MUNICÍPIO;2019;PROJ 2019
Acari;3.3;3.8
Açu;2.4;NaN
Afonso Bezerra;3;2.4
Água Nova;3.7;3.4
Alexandria;NaN;3.3
Almino Afonso;4.4;3.4
Alto do Rodrigues;3.2;NaN
Angicos;NaN;2.6
Antônio Martins;NaN;2.8
Apodi;4.6;4
Areia Branca;3.5;3
Arês;2.2;2.8
Augusto Severo;NaN;2.9
Baía Formosa;NaN;2.9
Baraúna;NaN;2.7
Barcelona;3.1;3.2
Bento Fernandes;NaN;2.6
Bodó;NaN;2.4
Bom Jesus;2.9;3.2
Brejinho;3.7;2.8
Caiçara do Rio do Vento;NaN;2.5
Caicó;4.4;4.1
Campo Redondo;NaN;2.9
Canguaretama;3.8;NaN
Caraúbas;3.7;3.5
Carnaúba dos Dantas;3.1;3.1
Carnaubais;NaN;3
Ceará-Mirim;3;2.8
Cerro Corá;3.4;3.1
Coronel Ezequiel;3.2;3.3
Coronel João Pessoa;3.6;3.5
Cruzeta;2.8;3.2
Currais Novos;4.8;4.4
Doutor Severiano;3.2;3.6
Parnamirim;4;3.6
Encanto;3.7;3.4
Equador;NaN;3
Espírito Santo;NaN;NaN
Extremoz;3.3;3.4
Felipe Guerra;3.8;3.6
Fernando Pedroza;NaN;NaN
Florânia;NaN;3.1
Francisco Dantas;3.8;3.5
Frutuoso Gomes;2.9;2.6
Galinhos;NaN;3.3
Goianinha;2.5;2.5
Governador Dix-Sept Rosado;NaN;3.4
Grossos;NaN;NaN
Guamaré;3.1;3
Ielmo Marinho;NaN;2.7
Ipanguaçu;NaN;4
Ipueira;4;3.5
Itajá;NaN;2.5
Itaú;2.9;3.1
Jaçanã;NaN;3
Jandaíra;3.6;2.3
Janduís;NaN;2.4
Januário Cicco;NaN;2.7
Japi;NaN;2.4
Jardim de Angicos;NaN;2.7
Jardim de Piranhas;NaN;2.8
Jardim do Seridó;3.5;4.1
João Câmara;3.7;NaN
João Dias;3.9;3.5
José da Penha;3.8;3.1
Jucurutu;NaN;2.9
Jundiá;NaN;2.5
Lagoa d'Anta;3;2.8
Lagoa de Pedras;3.4;3
Lagoa de Velhos;2.2;2.9
Lagoa Nova;3.1;3.1
Lagoa Salgada;NaN;3.7
Lajes;4.1;NaN
Lajes Pintadas;3;2.8
Lucrécia;NaN;NaN
Luís Gomes;3.1;3.1
Macaíba;3.5;3.3
Macau;4.1;NaN
Major Sales;3.5;3.3
Marcelino Vieira;3.6;3.8
Martins;3.3;2.9
Maxaranguape;NaN;NaN
Messias Targino;NaN;2.7
Montanhas;NaN;2.6
Monte Alegre;NaN;2.4
Monte das Gameleiras;2.8;2.5
Mossoró;3.8;3.4
Natal;3.6;NaN
Nísia Floresta;NaN;3.5
Nova Cruz;4.5;3.8
Olho d'Água do Borges;3.6;NaN
Ouro Branco;3.6;3.7
Paraná;3;2.8
Paraú;NaN;2.5
Parazinho;3.5;3.3
Parelhas;4.4;4.6
Rio do Fogo;2.6;NaN
Passa e Fica;NaN;3
Passagem;NaN;2.6
Patu;NaN;2.9
Santa Maria;NaN;NaN
Pau dos Ferros;5;4.5
Pedra Grande;NaN;2.4
Pedra Preta;NaN;2.9
Pedro Avelino;NaN;NaN
Pedro Velho;3.1;2.5
Pendências;2.9;2.6
Pilões;3.6;3.6
Poço Branco;3;2.9
Portalegre;3.6;3.8
Porto do Mangue;NaN;2.4
Serra Caiada;NaN;2.5
Pureza;NaN;2.4
Rafael Fernandes;NaN;4.1
Rafael Godeiro;NaN;3.6
Riacho da Cruz;3.6;3.2
Riacho de Santana;NaN;4.3
Riachuelo;NaN;2.9
Rodolfo Fernandes;NaN;2.6
Tibau;3.3;3.1
Ruy Barbosa;2.9;3
Santa Cruz;4;3.7
Santana do Matos;NaN;3.4
Santana do Seridó;3.8;4.2
Santo Antônio;NaN;2.7
São Bento do Norte;2.9;NaN
São Bento do Trairí;NaN;3.4
São Fernando;3.9;4.2
São Francisco do Oeste;4.3;4
São Gonçalo do Amarante;3.2;2.7
São João do Sabugi;4.2;4.7
São José de Mipibu;2.7;2.6
São José do Campestre;3.2;2.8
São José do Seridó;4;3.6
São Miguel;3.1;3.3
São Miguel do Gostoso;NaN;NaN
São Paulo do Potengi;4.5;3.9
São Pedro;NaN;2.7
São Rafael;NaN;2.5
São Tomé;NaN;3.1
São Vicente;NaN;3.5
Senador Elói de Souza;NaN;3.1
Senador Georgino Avelino;NaN;2.5
Serra de São Bento;3.5;3.4
Serra do Mel;3.3;3.1
Serra Negra do Norte;NaN;3.5
Serrinha;NaN;NaN
Serrinha dos Pintos;4.6;2.8
Severiano Melo;3.7;3.5
Sítio Novo;2.3;NaN
Taboleiro Grande;3.6;4.2
Taipu;NaN;NaN
Tangará;NaN;2.6
Tenente Ananias;NaN;2.6
Tenente Laurentino Cruz;NaN;3.3
Tibau do Sul;NaN;2.4
Timbaúba dos Batistas;3.9;4
Touros;2.7;2.4
Triunfo Potiguar;NaN;NaN
Umarizal;3.3;3.4
Upanema;3;3.4
Várzea;2.9;3.4
Venha-Ver;3.1;3.1
Vera Cruz;NaN;2.5
Viçosa;3.3;3.7
Vila Flor;NaN;3.1
